0	0	4.3045	3.35256	2.14046	2.04092	
0	1	6.40597	3.15166	3.06666	2.25024	
0	2	7.26213	3.7918	2.02721	2.1614	
0	3	6.85773	3.23245	2.79352	0.135962	
0	4	4.49759	3.16371	1.30161	0.200343	
0	5	7.85858	3.06963	1.70257	0.111206	
0	6	4.33208	2.90688	4.13672	1.4708	
0	7	6.46628	3.45715	1.98075	1.69126	
0	8	5.92279	2.84507	1.33652	1.5584	
0	9	7.11986	3.9262	4.06721	0.824658	
0	10	7.59678	3.73272	6.40072	2.23595	
0	11	6	2.2	4	1	
0	12	7.40397	2.50303	5.59983	2.12471	
0	13	7.88835	4.39919	4.60774	1.04182	
0	14	5.25834	2.71345	5.9567	0.156982	
0	15	5.65308	2.22229	4.99539	0.234912	
0	16	4.33164	4.20503	2.62769	0.754932	
0	17	6.41641	3.65879	5.94175	1.84353	
0	18	6.1	2.6	5.6	1.4	
0	19	5.94861	4.27791	5.39205	0.359863	
1	0	6.39865	2.92961	5.47989	1.82321	
1	1	6.3606	2.86719	1.89415	0.640234	
1	2	5.83051	3.92686	4.05083	2.4759	
1	3	7.00549	2.82932	1.99696	1.67749	
1	4	6.15239	2.35239	4.9492	1.5	
1	5	4.83097	4.27893	1.83527	2.27222	
1	6	6.79434	2.72729	3.51661	0.268896	
1	7	7.7797	3.6396	1.90405	2.20535	
1	8	7.25796	3.39688	2.12894	0.526929	
1	9	7.24181	3.1406	1.91773	1.30937	
1	10	6.93518	2.97339	2.64947	1.46494	
1	11	6.75599	3.81399	5.25917	1.24067	
1	12	4.74286	2.88271	5.92447	0.184229	
1	13	6.16119	3.59111	3.51463	0.351221	
1	14	7.71752	4.21125	4.24223	0.930347	
1	15	5.99816	2.89993	5.99703	0.860474	
1	16	5.94191	2.65251	6.79935	0.814697	
1	17	6.961	3.36143	2.1563	1.9271	
1	18	7.3219	2.95435	3.95522	2.23633	
1	19	4.39888	4.38704	4.37817	0.221216	
2	0	6.7	2.5	5.8	1.8	
2	1	6.66733	2.47483	5.96858	0.395972	
2	2	4.69573	3.78345	2.85293	2.3585	
2	3	5.32986	2.80713	1.82753	1.85935	
2	4	7.30454	3.69915	4.5413	1.89326	
2	5	5.20978	2.34673	1.00954	0.246411	
2	6	7.20237	4.04624	2.24237	0.377441	
2	7	6.29149	2.0342	1.67124	1.1908	
2	8	7.00791	3.6467	4.20622	0.277319	
2	9	5.87214	2.48464	5.10757	0.796826	
2	10	5.77988	2.79643	4.08969	1.24827	
2	11	6.56318	2.38445	3.97431	2.41123	
2	12	6.80466	4.21946	2.12065	0.90625	
2	13	4.94204	4.38835	3.69883	2.49517	
2	14	4.65101	3.50037	1.55691	1.15051	
2	15	7.65336	2.11624	6.27809	0.796021	
2	16	5.11826	3.8457	3.42316	0.584717	
2	17	6.56099	3.4499	3.66443	1.21921	
2	18	6.45211	3.52329	6.04312	2.08904	
2	19	6.54912	3.73013	4.33784	1.00029	
3	0	4.96335	3.77092	4.27518	2.27214	
3	1	4.9	2.5	4.5	1.7	
3	2	6.40454	2.84309	3.91723	0.29292	
3	3	6.9666	3.46887	4.66013	1.75864	
3	4	7.19622	2.35786	4.39851	2.1825	
3	5	7.58151	3.47524	5.2932	0.203711	
3	6	6.70392	4.3436	2.85851	1.46604	
3	7	5.40094	2.41741	1.64045	2.18564	
3	8	7.36431	3.7863	1.91377	0.88457	
3	9	4.58564	2.18384	4.78167	2.06794	
3	10	6.26227	3.07578	3.4129	0.816968	
